,Name,Company,Location,Salary,Experience,Type,Field,Posted,Updated,Skill Required,Link
501,Product Support Backend Engineer,Fetch Technology,"Hà Nội, Vietnam",,1 - 3 năm kinh nghiệm,Việc làm fulltime,Software Engineering,26 days ago,26 days ago,"Excellent Communication Skills, Python, English and Indonesian",https://glints.com/vn/opportunities/jobs/product-support-backend-engineer/6bd37413-a11e-4310-b9f4-09540087de2e
502,"NHÂN VIÊN KINH DOANH (lương cứng 8,5 triệu)",Công Ty Cổ Phần Địa Ốc Hồng Phát Land,"Quận 12, Ho Chi Minh City, Vietnam",,Dưới một năm kinh nghiệm,Việc làm fulltime,Business Development / Sales,2 months ago,2 months ago,"Marketing, Communication, Microsoft Office",https://glints.com/vn/opportunities/jobs/nhan-vien-kinh-doanh-luong-cung-8-5-trieu/9ada79c9-12b5-4a0b-aeb7-10e9c2387836
503,Flutter Developer,"Aina Co.,ltd","Ho Chi Minh City, Vietnam",,1 - 3 năm kinh nghiệm,Việc làm fulltime,Software Engineering,1 month ago,1 month ago,"Flutter, GraphQL, OOP",https://glints.com/vn/opportunities/jobs/flutter-developer/5a2a7f68-7f82-45c6-9e11-e8112fb8c46c
504,Operation Manager (Lương 18 triệu),Kootoro,"Thành phố Thủ Đức, Ho Chi Minh City, Vietnam",,1 - 3 năm kinh nghiệm,Việc làm fulltime,Operations,9 days ago,7 days ago,"Team Leadership, Operations Management, Management, Product Development",https://glints.com/vn/opportunities/jobs/operation-manager-luong-18-trieu/b31a758d-e974-4c3a-aad7-94c415afa35c
505,Chuyên Viên Telesales - Sản Phẩm Khóa Học,DINO,"Hà Nội, Vietnam",,Dưới một năm kinh nghiệm,Việc làm fulltime,Business Development / Sales,3 months ago,2 months ago,"Nhiệt Huyết, Telesales, Tốt Nghiệp Trung Cấp",https://glints.com/vn/opportunities/jobs/chuyen-vien-telesales-san-pham-khoa-hoc/3dea9204-3be9-411b-a402-c5b456b9e5d6
506,Junior Accountant,Intrepid Vietnam,"Quận 1, Ho Chi Minh City, Vietnam",,1 - 3 năm kinh nghiệm,Việc làm fulltime,Finance,4 months ago,9 days ago,"Bookkeeping, Detail-oriented And Meticulous, Accounting, Financial Reporting",https://glints.com/vn/opportunities/jobs/junior-accountant/41d4aafb-a785-42a1-9016-927acad6002c
507,Senior Media Executive,Tsp Digital Performance,"Ho Chi Minh City, Vietnam",,1 - 3 năm kinh nghiệm,Việc làm fulltime,Marketing,3 months ago,1 month ago,"Social Media Marketing, Social Media Advertising, Social Media Management",https://glints.com/vn/opportunities/jobs/senior-media-executive/9c36a4bb-d6e2-454b-bbb0-e2ac162336df
508,Python Developer,DIGI-TEXX,"Ho Chi Minh City, Vietnam",,1 - 3 năm kinh nghiệm,Việc làm fulltime,Software Engineering,3 months ago,1 month ago,"Mysql Database, Python, Deep Learning, MongoDB, Laravel Framework",https://glints.com/vn/opportunities/jobs/python-developer/9c3da71a-6892-4187-9801-05ff426fe7d8
509,Business Analyst,CÔNG TY CỔ PHẦN ONEBOX EXPRESS,"Hoàn Kiếm, Vietnam",,1 - 3 năm kinh nghiệm,Việc làm fulltime,Software Engineering,3 months ago,30 days ago,"Business Analyst, Database, MongoDB",https://glints.com/vn/opportunities/jobs/business-analyst/f78aedf3-7363-454d-ad5a-f47a2ca04ddb
510,PR & Brand Manager ,Interspace Vietnam,"Quận Tân Bình, Ho Chi Minh City, Vietnam",,1 - 3 năm kinh nghiệm,Việc làm fulltime,Marketing,2 months ago,2 months ago,"Brand Management, Brand Marketing, PR Marketing, Brand Manager, Brand Management Strategy, Public Relations, Branding & Identity",https://glints.com/vn/opportunities/jobs/pr-and-brand-manager/f9b5d839-05ec-4fb2-a524-f19e7e6f4ca3
511,Fresher Game Developer,Công Ty Tnhh Elofun Entertainment,"Quận Tân Bình, Ho Chi Minh City, Vietnam",,Dưới một năm kinh nghiệm,Việc làm fulltime,Software Engineering,1 month ago,1 month ago,"Java, Cocos2d, C#",https://glints.com/vn/opportunities/jobs/fresher-game-developer/99bc9f2d-7e5a-4a3c-88d8-5207f50cdca1
512,[HN](Senior) Frontend Engineer - Core Architecture,TIKI,"Hà Nội, Vietnam",,,Việc làm fulltime,Software Engineering,22 days ago,16 days ago,"JavaScript (ES6+), JavaScript, REST API",https://glints.com/vn/opportunities/jobs/hnsenior-frontend-engineer-core-architecture/63a40425-8d79-4228-bcac-a63247488e6c
513,[HCM](Senior) Frontend Engineer - Core Architecture,TIKI,"Ho Chi Minh City, Vietnam",,,Việc làm fulltime,Software Engineering,22 days ago,16 days ago,"JavaScript, ES6+, REST API",https://glints.com/vn/opportunities/jobs/hcmsenior-frontend-engineer-core-architecture/d5e4fa42-d975-444f-9551-2ac2e23aabbf
514,Backend Developer,Vui App,"Hà Nội, Vietnam",,3 - 5 năm kinh nghiệm,Việc làm fulltime,Software Engineering,28 days ago,28 days ago,"Backend Developer, Data Structures, Java, Graphql, PostgreSQL, Spring Boot, Kotlin, RDBMS, Algorithms, RESTful",https://glints.com/vn/opportunities/jobs/backend-developer/96ba8a75-20c2-40ec-9d4c-b39bccaaea1d
515,Sales Staff (Chemical),Jolie Siam,"Ho Chi Minh City, Vietnam",,Dưới một năm kinh nghiệm,Việc làm fulltime,Business Development / Sales,yesterday,yesterday,"Customer Relations, English, Business Development, Communication, Sales",https://glints.com/vn/opportunities/jobs/sales-staff-chemical/954f1469-1753-4c8c-acfd-d17450e43286
516,HEAD OF CATEGORY,GOODFOOD,"Ho Chi Minh City, Vietnam",,3 - 5 năm kinh nghiệm,Việc làm fulltime,Marketing,12 days ago,12 days ago,"Excellent Communication Skills, Proficient In Ms Office, Understanding of data analysis, Good English Skill",https://glints.com/vn/opportunities/jobs/head-of-category/19cdf28a-8339-41b1-92d1-084ba0fee92a
517,Junior Sales Consultant,Jolie Siam,"Ho Chi Minh City, Vietnam",,Dưới một năm kinh nghiệm,Việc làm fulltime,Business Development / Sales,yesterday,yesterday,"Customer Relations, Business Development, Communication Skills, Sales Marketing",https://glints.com/vn/opportunities/jobs/junior-sales-consultant/bb6bf4fa-0dd3-45c5-ad1d-5171e5a5bf4f
518,Junior Software Engineer (Angular),Jobseeker.vn,"Ho Chi Minh City, Vietnam",,Dưới một năm kinh nghiệm,Việc làm fulltime,Software Engineering,4 months ago,23 days ago,"JavaScript, MySQL, AngularJS/Angular 2+",https://glints.com/vn/opportunities/jobs/junior-software-engineer-angular/d2773ad3-ed8d-472e-b381-d261d6dfb75e
519,Senior Software Engineer,,"Ho Chi Minh City, Vietnam",,5 - 10 năm kinh nghiệm,Việc làm fulltime,,,,PHP,https://glints.com/vn/opportunities/jobs/source/spwd/senior-software-engineer/a7af1b8a-4816-4120-af52-89ca32cca123
520,Assistant Procurement Manager (Construction),MM Mega Market Vietnam,"Ho Chi Minh City, Vietnam",,1 - 3 năm kinh nghiệm,Việc làm fulltime,Operations,5 months ago,1 month ago,"Project Bidding, Purchasing, Tender And Contract",https://glints.com/vn/opportunities/jobs/assistant-procurement-manager-construction/a87602c8-2756-454f-b682-ceceb9e2fa3a
521,Lawyer,Công ty CP Giáo dục IMG Việt Nam,"Thành phố Thủ Đức, Ho Chi Minh City, Vietnam",,1 - 3 năm kinh nghiệm,Việc làm fulltime,Legal,4 months ago,2 months ago,"Business Mindset, Certification as Praticing Lawye, Attention To Detail, Fluent In English Both Oral And Written",https://glints.com/vn/opportunities/jobs/lawyer/e191d578-8fef-4b21-89ed-c4c021235555
522,Chuyên Viên Sale Admin - CSKH,CÔNG TY CỔ PHẦN CEO THỦ ĐÔ HOLDING,"Hà Nội, Vietnam",,1 - 3 năm kinh nghiệm,Việc làm fulltime,Business Development / Sales,1 month ago,1 month ago,"Đam Mê Kinh Doanh, Kỹ năng giao tiếp, Kỹ Năng Bán Hàng, Làm việc độc lập và nhóm, Kỹ năng giao tiếp tốt",https://glints.com/vn/opportunities/jobs/chuyen-vien-sale-admin-cskh/dbbf24b2-27b2-4c8e-b94c-0daf66232d50
523,Digital Marketing Executive,Marathon Education,"Quận Bình Thạnh, Ho Chi Minh City, Vietnam",,1 - 3 năm kinh nghiệm,Việc làm fulltime,Marketing,1 month ago,1 month ago,"Social Media Marketing, Digital Marketing, Analytical Skills, Marketing Strategy",https://glints.com/vn/opportunities/jobs/digital-marketing-executive/374a02c5-d129-4c0c-88eb-d4c226bf0a36
524,Chuyên Viên Kinh Doanh Telesale,Công ty Cổ phần Giáo dục Educa Corporation,"Hà Nội, Vietnam",,Dưới một năm kinh nghiệm,Việc làm fulltime,Business Development / Sales,5 days ago,5 days ago,"Giao Tiếp Tốt, Tư Vấn Giáo Dục, Tư vấn bán hàng online, Tư vấn bán hàng., thuyết phục và đàm phán",https://glints.com/vn/opportunities/jobs/chuyen-vien-kinh-doanh-telesale/bbbb8514-d0dc-4afb-8d5f-6430765f3224
525,Chuyên Viên Kinh Doanh Telesale,Công ty Cổ phần Giáo dục Educa Corporation,"Hà Nội, Vietnam",,Dưới một năm kinh nghiệm,Việc làm fulltime,Business Development / Sales,5 days ago,5 days ago,"Giao Tiếp Tốt, Tư Vấn Giáo Dục, Tư vấn bán hàng online, Tư vấn bán hàng., thuyết phục và đàm phán",https://glints.com/vn/opportunities/jobs/chuyen-vien-kinh-doanh-telesale/dab67d05-9a2e-4fbf-8991-c7b865d142c1
526,Chuyên Viên Tư vấn Giáo dục ,Công ty Cổ phần Giáo dục Educa Corporation,"Hà Nội, Vietnam",,Dưới một năm kinh nghiệm,Việc làm fulltime,Business Development / Sales,5 days ago,5 days ago,"Tư Vấn Giáo Dục, Tư vấn bán hàng online, Tư Vấn Khách Hàng, Kỹ năng giao tiếp tốt",https://glints.com/vn/opportunities/jobs/chuyen-vien-tu-van-giao-duc/88990c67-5be8-4927-9fbb-745a9d08aeab
527,Chuyên Viên Kinh Doanh Telesale,Công ty Cổ phần Giáo dục Educa Corporation,"Hà Nội, Vietnam",,Dưới một năm kinh nghiệm,Việc làm fulltime,Business Development / Sales,5 days ago,5 days ago,"Đam Mê Kinh Doanh, Kỹ năng giao tiếp, Telesales, Telephone Skills, Yêu Thích Kinh Doanh, Sales, Quản Trị Kinh Doanh, giao tiếp kinh doanh., Nhân Viên Kinh Doanh, Sales Marketing",https://glints.com/vn/opportunities/jobs/chuyen-vien-kinh-doanh-telesale/d7321ecd-e40d-42ef-996e-bac14843c631
528,Nhân Viên Telesales,Công Ty Cổ Phần Tập Đoàn Tima,"Hà Nội, Vietnam",,1 - 3 năm kinh nghiệm,Việc làm fulltime,Business Development / Sales,25 days ago,25 days ago,"Kỹ năng giao tiếp, Telesales, Tư Vấn Khách Hàng",https://glints.com/vn/opportunities/jobs/nhan-vien-telesales/820c5df1-ff4b-41b8-86c5-64de96fdf8f8
529,HR INTERN,CÔNG TY TNHH BẢO HIỂM NHÂN THỌ CHUBB VIỆT NAM,"Quận 1, Ho Chi Minh City, Vietnam",,Dưới một năm kinh nghiệm,Thực Tập,Human Resource,1 month ago,1 month ago,"Computer Networking, Good Teamwork, Good Communication Skills",https://glints.com/vn/opportunities/jobs/hr-intern/99b919e9-4dc6-4de3-8ba4-29fc1154078c
530,Sales Planning & Performance Management Specialist,ANHEUSER-BUSCH INBEV SOUTHEAST ASIA,"Ho Chi Minh City, Vietnam",,1 - 3 năm kinh nghiệm,Việc làm fulltime,Business Development / Sales,2 months ago,2 months ago,"Commercial Business Development, Account Management, Performance Management",https://glints.com/vn/opportunities/jobs/sales-planning-and-performance-management-specialist/9abad7d5-2813-4f1d-a564-3d975d763a57
531,Digital Marketing Executive,Marathon Education,"Quận Bình Thạnh, Ho Chi Minh City, Vietnam",,1 - 3 năm kinh nghiệm,Việc làm fulltime,Marketing,1 month ago,1 month ago,"Digital Marketing, Social Media, MCC Scripts, CRM",https://glints.com/vn/opportunities/jobs/digital-marketing-executive/c9db62a9-5f68-4737-b644-c98df633935b
532,Sales & Marketing Manager (FMCG Category),Công Ty Con Cưng (concung.com),"Quận 7, Ho Chi Minh City, Vietnam",,5 - 10 năm kinh nghiệm,Việc làm fulltime,Marketing,2 months ago,2 months ago,"Trend Forecasting, Product Management, Sales Strategy, Marketing Campaign",https://glints.com/vn/opportunities/jobs/sales-and-marketing-manager-fmcg-category/ba0d9a43-26e9-40a5-b624-ea90c10c8718
533,Nhân Viên Tư Vấn Bất Động Sản,Haycome,"Ho Chi Minh City, Vietnam",,,Việc làm fulltime,Business Development / Sales,12 days ago,12 days ago,"Kỹ Năng Thương Lượng, Tốt Nghiệp Từ Trung Cấp, Kỹ năng giao tiếp tốt",https://glints.com/vn/opportunities/jobs/nhan-vien-tu-van-bat-dong-san/e4a5fba2-a1f2-494e-9948-66beea94e437
534,Planning - Promotion Executive (MT Channel),Rohto-Mentholatum Việt Nam,"Ho Chi Minh City, Vietnam",,3 - 5 năm kinh nghiệm,Việc làm fulltime,Marketing,4 days ago,2 days ago,"Branding and Identity, Business Development, Database Administration, Good Communication Skills, Logical Thinking",https://glints.com/vn/opportunities/jobs/planning-promotion-executive-mt-channel/041cb862-08df-4e23-b565-70b49bc3d163
535,WORDPRESS INTEGRATION SPECIALIST / WEB DEVELOPER,INFINIUM RESEARCH INC.,"Quận 1, Ho Chi Minh City, Vietnam",,1 - 3 năm kinh nghiệm,Việc làm freelance,Software Engineering,2 months ago,3 days ago,"Backend Developer, Api Gateway, English, API, Wordpress Development, Payment Gateaway, Rest Api, Web Development, Front End Developer",https://glints.com/vn/opportunities/jobs/wordpress-integration-specialist-web-developer/2dcfd7e2-b891-4f97-ba87-7e68958e2edb
536,Account Manager (Finance - Loan Project),Interspace Vietnam,"Quận Tân Bình, Ho Chi Minh City, Vietnam",,1 - 3 năm kinh nghiệm,Việc làm fulltime,Business Development / Sales,3 months ago,20 days ago,"Digital Marketing, Digital Strategy, Account Management, Good Communication Skills, Data Analysis",https://glints.com/vn/opportunities/jobs/account-manager-finance-loan-project/b5399507-0f6f-4d64-b02d-2c768ab02775
537,Fullstack Developer,Công ty Modmo,"Ho Chi Minh City, Vietnam",,3 - 5 năm kinh nghiệm,Việc làm fulltime,Software Engineering,3 months ago,1 month ago,"Node.js, ReactJS, Angular",https://glints.com/vn/opportunities/jobs/fullstack-developer/ab49d91c-0377-4a2e-9a7b-0e620b5bc644
538,Software Architect/ Technical Architect,Sioux High Tech Software Viet Nam,"Da Nang, Vietnam",,3 - 5 năm kinh nghiệm,Việc làm fulltime,Software Engineering,3 months ago,30 days ago,"Software Architect, Leadership, Technical Architect, Software Development, Good Communication Skills, Presentation Skills",https://glints.com/vn/opportunities/jobs/software-architect-technical-architect/24de3960-76ef-4b05-ade0-389117512287
539,Pandora Vietnam - IT Specialist,Norbreeze Group,"Quận 3, Ho Chi Minh City, Vietnam",,1 - 3 năm kinh nghiệm,Việc làm fulltime,Software Engineering,29 days ago,29 days ago,"IT Support, It Software Support, Software Testing, Software Development",https://glints.com/vn/opportunities/jobs/pandora-vietnam-it-specialist/c19840c0-974a-444d-9b59-834e7d1b7797
540,Sales Representative - Key Account,ANHEUSER-BUSCH INBEV SOUTHEAST ASIA,"Ho Chi Minh City, Vietnam",,1 - 3 năm kinh nghiệm,Việc làm fulltime,Business Development / Sales,2 months ago,2 months ago,"Sales Presentations, Good Communication Skills, Lobby & Negotiation skill, Performance Management, Sales Marketing",https://glints.com/vn/opportunities/jobs/sales-representative-key-account/ac7690e8-c4f6-48ea-984e-38b3fc47be8e
541,Middle/Senior Full stack Developer (1000 - 3000 USD ),Fetch Technology,"Hà Nội, Vietnam",,1 - 3 năm kinh nghiệm,Việc làm fulltime,Other,29 days ago,29 days ago,"Time Management Skills, JavaScript, Strong Problem Solving",https://glints.com/vn/opportunities/jobs/middle-senior-full-stack-developer-1000-3000-usd/a3a96885-a3ed-43ea-b1bd-c8f0cb1637f7
542,Machine Learning_Fresher,DIGI-TEXX,"Ho Chi Minh City, Vietnam",,1 - 3 năm kinh nghiệm,Việc làm fulltime,Software Engineering,3 months ago,10 days ago,"Critical Thinking, Machine Learning, Good Communication Skills, Logical Thinking, Self Improvement",https://glints.com/vn/opportunities/jobs/machine-learning-fresher/97101f11-0b8d-435a-a3b3-009ff9c7e2f6
543,JUNIOR BACKEND DEVELOPER ,Loop Smart POS,"Hà Nội, Vietnam",,Dưới một năm kinh nghiệm,Việc làm fulltime,Software Engineering,1 month ago,1 month ago,"Node.js, .NET Core, .NET",https://glints.com/vn/opportunities/jobs/junior-backend-developer/e43b6543-223c-4d3a-965a-36eb846b1aa9
544,Backend Developer,Advesa Digital Solutions,"Hà Nội, Vietnam",,1 - 3 năm kinh nghiệm,Việc làm fulltime,Software Engineering,2 months ago,2 months ago,"API, Django, Python, Database, MongoDB, Django Framework",https://glints.com/vn/opportunities/jobs/backend-developer/f529b45c-6a91-4628-96a9-b8bc40811795
545,E-commerce Marketplace Specialist - Phong Vũ & VnShop,Vnshop,"Quận 3, Ho Chi Minh City, Vietnam",,1 - 3 năm kinh nghiệm,Việc làm fulltime,Marketing,4 months ago,1 month ago,"E-commerce Management, Fluent In English Both Oral And Written, Marketing Planning",https://glints.com/vn/opportunities/jobs/e-commerce-marketplace-specialist-phong-vu-and-vnshop/32396ce5-4e3b-403a-aafa-644428cee7ee
546,Business Development Executive,QSR Vietnam,"Ho Chi Minh City, Vietnam",,1 - 3 năm kinh nghiệm,Việc làm fulltime,Business Development / Sales,3 months ago,3 months ago,"CRM Management, Digital Marketing, strategic partnership, Business Development, Project Management, Good Communication Skills",https://glints.com/vn/opportunities/jobs/business-development-executive/93401cf2-eb34-45ad-af79-0d7512787242
547,CHUYÊN VIÊN VẬN HÀNH,"Heramo Co., Ltd","Quận Gò Vấp, Ho Chi Minh City, Vietnam",,1 - 3 năm kinh nghiệm,Việc làm fulltime,Operations,13 days ago,11 days ago,"Problem Solving, Communication, Planing Skill",https://glints.com/vn/opportunities/jobs/chuyen-vien-van-hanh/129047e9-e73d-4b52-aa2b-b93c86561313
548,TUYỂN DỤNG - Nhân Viên CnB,Manpowergroup Việt Nam,"Quận 10, Ho Chi Minh City, Vietnam",,3 - 5 năm kinh nghiệm,Việc làm fulltime,Human Resource,9 days ago,8 days ago,"Microsoft Excel, Analytical Skills, Human Resources",https://glints.com/vn/opportunities/jobs/tuyen-dung-nhan-vien-cnb/b47d08f7-6728-4614-a5b3-d463af3b749c
549,Product Manager,Công Ty Bất Động Sản Công Nghệ Hoozing,"Ho Chi Minh City, Vietnam",,,Việc làm fulltime,Product Management,1 month ago,1 month ago,"Problem Solving, Data Driven, Data Analysis",https://glints.com/vn/opportunities/jobs/product-manager/4e9f0002-6780-416f-b53f-892af1c59fc5
550, Finance and Accounting Intern,Kyanon Digital,"Quận Phú Nhuận, Ho Chi Minh City, Vietnam",,Dưới một năm kinh nghiệm,Việc làm fulltime,Finance,27 days ago,26 days ago,"English, Good Communication Skills, Time Management",https://glints.com/vn/opportunities/jobs/finance-and-accounting-intern/9afb9b3b-eb5e-4223-847c-312543421594
551,Đại Diện Kinh Doanh Bất Động Sản,Apec Group,"Hà Nội, Vietnam",,,Việc làm fulltime,Business Development / Sales,29 days ago,29 days ago,"Nhanh Nhẹn, Bán Hàng, Nhạy Bén",https://glints.com/vn/opportunities/jobs/dai-dien-kinh-doanh-bat-dong-san/49853dde-5f54-4383-8e81-7e10253df623
552,Chuyên Viên Kinh Doanh Telesale,Công ty Cổ phần Giáo dục Educa Corporation,"Hà Nội, Vietnam",,Dưới một năm kinh nghiệm,Việc làm fulltime,Business Development / Sales,20 days ago,9 days ago,"Đam Mê Kinh Doanh, Kỹ năng giao tiếp, Telesales, Telephone Skills, Yêu Thích Kinh Doanh, Sales, Quản Trị Kinh Doanh, giao tiếp kinh doanh., Nhân Viên Kinh Doanh, Sales Marketing",https://glints.com/vn/opportunities/jobs/chuyen-vien-kinh-doanh-telesale/43fd8761-2e55-468e-8ee0-6d19f0e62190
553,HR Intern ,Advesa Digital Solutions,"Hà Nội, Vietnam",,Dưới một năm kinh nghiệm,Thực Tập,Human Resource,3 months ago,18 days ago,"Outgoing And Enthusiastic, English, Willing To Learn Attitude",https://glints.com/vn/opportunities/jobs/hr-intern/98f7adfa-2401-477a-8b76-3d46fd8fd779
554,Nhân viên telesales- không yêu cầu kinh nghiệm,Công ty Cổ phần Giáo dục Educa Corporation,"Hà Nội, Vietnam",,,Việc làm fulltime,Business Development / Sales,5 days ago,5 days ago,"Telesales, Tư Vấn Thuyết Phục, Giao Tiếp Thuyết Phục, Sales, Giao Tiếp Tốt, Tư vấn bán hàng online, Tư vấn bán hàng., Tư Vấn Khách Hàng, Tư Vấn Chốt Sales",https://glints.com/vn/opportunities/jobs/nhan-vien-telesales-khong-yeu-cau-kinh-nghiem/f768d23f-c047-4601-81fd-e92f78457156
555,QA Engineer (Manual) ~$3000,Leapxpert,"Ho Chi Minh City, Vietnam",,3 - 5 năm kinh nghiệm,Việc làm fulltime,Software Engineering,2 months ago,20 days ago,"QA Tester, Manual Testing, API Testing",https://glints.com/vn/opportunities/jobs/qa-engineer-manual-3000/47b29c9e-29a2-494e-9192-f7c4ae9c826c
556,NHÂN VIÊN KINH DOANH BĐS SENGROUP,Manpowergroup Việt Nam,"Quận 3, Ho Chi Minh City, Vietnam",,Dưới một năm kinh nghiệm,Việc làm fulltime,Business Development / Sales,29 days ago,9 days ago,"Consultant, Communication Skills, Customer Relationship",https://glints.com/vn/opportunities/jobs/nhan-vien-kinh-doanh-bds-sengroup/4de487d3-ddb8-442e-ae06-654819f996cc
557,Consumer Product Marketing,"Asus Technology (vietnam) Co.,ltd","Quận 10, Ho Chi Minh City, Vietnam",,3 - 5 năm kinh nghiệm,Việc làm fulltime,Marketing,20 days ago,20 days ago,"Product Marketing Strategy, Go To Market planning, Consumer Insight, Brand Awareness, Branding",https://glints.com/vn/opportunities/jobs/consumer-product-marketing/9f69db15-a744-4360-9cc2-5a8abd480e58
558,Python Developer | Up to $2000,Hybrid Technologies,"Ho Chi Minh City, Vietnam",,1 - 3 năm kinh nghiệm,Việc làm fulltime,Software Engineering,2 months ago,22 days ago,"Python Programming, Good Communication Skills, Agile Project Management",https://glints.com/vn/opportunities/jobs/python-developer-up-to-2000/ba99db0e-5061-4ab9-acfc-9d77dcc80616
559,NHÂN VIÊN TƯ VẤN QUA ĐIỆN THOẠI,Manpowergroup Việt Nam,"Quận Tân Bình, Ho Chi Minh City, Vietnam",,Dưới một năm kinh nghiệm,Việc làm fulltime,Business Development / Sales,7 days ago,7 days ago,"Good Attitude, Microsoft Office, Good Communication Skills",https://glints.com/vn/opportunities/jobs/nhan-vien-tu-van-qua-dien-thoai/b5b77bc2-c64d-4cad-af43-50de4f087da7
560,BI Developer,Gimasys,"Ho Chi Minh City, Vietnam",,1 - 3 năm kinh nghiệm,Việc làm fulltime,Software Engineering,2 months ago,2 months ago,"QuickSight, MySQL, Sql, Data Mart, Data Modeling, Giao Tiếp Tốt, Google Data Studio, Tableau, Oracle, Quản Trị Cơ Sở Dữ Liệu, Oracle BI",https://glints.com/vn/opportunities/jobs/bi-developer/412cfc5f-6c18-422b-ad5d-892b2715e3ab
561,ACCOUNTING SUPERVISOR ,CÔNG TY CỔ PHẦN TRUST CARGO AVIATION & SOLUTION,"Quận Tân Bình, Ho Chi Minh City, Vietnam",,5 - 10 năm kinh nghiệm,Việc làm fulltime,Finance,4 months ago,8 days ago,"English, Microsoft Excel, Leadership, Accounting, Bachelors Degree > Bachelors Degree Accounting",https://glints.com/vn/opportunities/jobs/accounting-supervisor/c80af575-b501-401e-9fda-31defbd7997e
562,NHÂN VIÊN HÀNH CHÍNH VĂN PHÒNG,CÔNG TY CỔ PHẦN NỘI THẤT ĐÔNG Á,"Thành phố Thủ Đức, Ho Chi Minh City, Vietnam",,Dưới một năm kinh nghiệm,Việc làm fulltime,Human Resource,20 days ago,2 hours ago,"Human Resources, Human Resource Management, Human Development",https://glints.com/vn/opportunities/jobs/nhan-vien-hanh-chinh-van-phong/c776813d-05bb-4de1-bf50-8dc153fd99b4
563,Marketing Executive (Korean Topik 5),"Orion Food Vina Co,. Ltd","Ho Chi Minh City, Vietnam",,1 - 3 năm kinh nghiệm,Việc làm fulltime,Marketing,26 days ago,24 days ago,"Search Engine Optimization (SEO), Marketing Communications, Social Media Marketing, Digital Marketing, Social Media Management, Marketing Strategy, Manage Digital Marketing Campaign, Content Marketing",https://glints.com/vn/opportunities/jobs/marketing-executive-korean-topik-5/32eb16bd-85c3-4ded-8431-cfea58057936
564,Programming Teacher (Full-time/Part-time),The International Coding School Algorithmics,"Ho Chi Minh City, Vietnam",,1 - 3 năm kinh nghiệm,Việc làm part time,Education,3 months ago,8 days ago,"Programming, English Teaching, Online teacher, Python (Programming Language), Python Programming, Teaching, Teacher Of Kindergarten, Teacher, Primary School Teacher, Teacher Of Elementary",https://glints.com/vn/opportunities/jobs/programming-teacher-full-time-part-time/cb6a362d-7a5d-4142-a3ed-37ec47b410af
565,Sourcing Supervisor,Annam Group,"Quận 1, Ho Chi Minh City, Vietnam",,3 - 5 năm kinh nghiệm,Việc làm fulltime,Product Management,25 days ago,19 days ago,"	Education Relevant CollegeUnive, 	Respect the confidentiality of , 	3-5 years experience at the sam, 	Software skills Excel, Power po",https://glints.com/vn/opportunities/jobs/sourcing-supervisor/521a7d25-815e-437f-99f1-d9b022572340
566,PARTNERSHIP & COMMUNITY SPECIALIST FULLTIME,Secomus Technology Jsc,"Ho Chi Minh City, Vietnam",,1 - 3 năm kinh nghiệm,Việc làm fulltime,Marketing,2 months ago,15 days ago,"Project Management, Presentation Skills, Manage Digital Marketing Campaign, Teamwork And Interpersonal Skills, Content Marketing",https://glints.com/vn/opportunities/jobs/partnership-and-community-specialist-fulltime/8e9d8023-9a47-44d1-9ce7-11e7916c54ec
567,Business Development Team Leader,Prime Commerce Asia,"Quận 1, Ho Chi Minh City, Vietnam",,1 - 3 năm kinh nghiệm,Việc làm fulltime,Business Development / Sales,3 months ago,9 days ago,"Interpersonal Skills, Team Leadership, Good Communication Skills",https://glints.com/vn/opportunities/jobs/business-development-team-leader/077044f5-bbf5-45aa-b6a2-198f7427db22
568,GENERAL ACCOUNTANT ,SonKim Land,"Quận 3, Ho Chi Minh City, Vietnam",,3 - 5 năm kinh nghiệm,Việc làm fulltime,Finance,1 month ago,4 days ago,"Accounting, Financial Analysis, Cashflow Management",https://glints.com/vn/opportunities/jobs/general-accountant/ca446a1f-f3df-408a-90b4-4359d704b00a
569,Digital Marketing Team Leader,Goat Empire,"Hà Nội, Vietnam",,,Việc làm fulltime,Marketing,18 days ago,18 days ago,"Digital Marketing, Digital Strategy, Digital Advertising",https://glints.com/vn/opportunities/jobs/digital-marketing-team-leader/ad82fee6-c7a1-4e51-a9b4-2ca2305cf5e7
570,Sales Engineer (Priority for Fresher),Công Ty Kết Cấu Thép Atad,"Quận 1, Ho Chi Minh City, Vietnam",,Dưới một năm kinh nghiệm,Việc làm fulltime,Business Development / Sales,1 month ago,1 month ago,"Problem Solving And Time Management, Negotiation Skill, Sales, Microsoft Office",https://glints.com/vn/opportunities/jobs/sales-engineer-priority-for-fresher/9efc08da-dc65-4132-b4cb-c7e192011e61
571,IT Project Manager (Agile),Tekcent Vietnam,"Quận 1, Ho Chi Minh City, Vietnam",,3 - 5 năm kinh nghiệm,Việc làm fulltime,Software Engineering,4 months ago,1 month ago,"Web API, ASP.NET MVC 5, Asp.net Core, C#",https://glints.com/vn/opportunities/jobs/it-project-manager-agile/7d2e94e8-72c8-44a4-9f0c-ac6bd8771dc0
